"Post
Code",Locality Name
3737,Abbeyard
3067,Abbotsford
3040,Aberfeldie
3825,Aberfeldy
3714,Acheron
3714,Acheron
3984,Adams Estate
3352,Addington
3465,Adelaide Lead
3962,Agnes
3336,Aintree
3231,Aireys Inlet
3851,Airly
3042,Airport West
3021,Albanvale
3206,Albert Park
3206,Albert Park
3971,Alberton
3971,Alberton West
3020,Albion
3020,Albion
3714,Alexandra
3714,Alexandra
3714,Alexandra
3350,Alfredton
3350,Alfredton
3823,Allambee
3871,Allambee Reserve
3871,Allambee Reserve
3871,Allambee South
3691,Allans Flat
3277,Allansford
3277,Allansford
3364,Allendale
3305,Allestree
3465,Alma
3727,Almonds
3979,Almurta
3078,Alphington
3078,Alphington
3018,Altona
3028,Altona Meadows
3028,Altona Meadows
3025,Altona North
3025,Altona North
3249,Alvie
3371,Amherst
3825,Amor
3468,Amphitheatre
3468,Amphitheatre
3468,Amphitheatre
3213,Anakie
3213,Anakie
3715,Ancona
3995,Anderson
3898,Anglers Rest
3230,Anglesea
3549,Annuello
3414,Antwerp
3414,Antwerp
3233,Apollo Bay
3579,Appin
3579,Appin
3579,Appin South
3579,Appin South
3579,Appin South
3319,Apsley
3409,Arapiles
3377,Ararat
3951,Arawata
3631,Arcadia
3631,Arcadia South
3631,Arcadia South
3475,Archdale
3475,Archdale
3475,Archdale Junction
3723,Archerton
3723,Archerton
3995,Archies Creek
3022,Ardeer
3022,Ardeer
3629,Ardmona
3480,Areegra
3523,Argyle
3143,Armadale
3143,Armadale
3377,Armstrong
3217,Armstrong Creek
3551,Arnold
3551,Arnold West
3099,Arthurs Creek
3936,Arthurs Seat
3936,Arthurs Seat
3364,Ascot
3551,Ascot
3032,Ascot Vale
3442,Ashbourne
3147,Ashburton
3147,Ashburton
3147,Ashwood
3195,Aspendale
3195,Aspendale Gardens
3195,Aspendale Gardens
3818,Athlone
3049,Attwood
3049,Attwood
3393,Aubrey
3570,Auchmore
3212,Avalon
3664,Avenel
3664,Avenel
3467,Avoca
3477,Avon Plains
3034,Avondale Heights
3559,Avonmore
3782,Avonsleigh
3551,Axe Creek
3551,Axedale
3551,Axedale
3268,Ayrford
3268,Ayrford
3340,Bacchus Marsh
3340,Bacchus Marsh
3670,Baddaginnie
3670,Baddaginnie
3777,Badger Creek
3579,Bael Bael
3551,Bagshot
3551,Bagshot North
3312,Bahgallah
3608,Bailieston
3875,Bairnsdale
3350,Bakery Hill
3183,Balaclava
3364,Bald Hills
3364,Bald Hills
3249,Balintore
3342,Ballan
3279,Ballangeich
3483,Ballapur
3350,Ballarat Central
3350,Ballarat East
3350,Ballarat East
3350,Ballarat North
3561,Ballendella
3561,Ballendella
3340,Balliang
3340,Balliang
3340,Balliang East
3375,Ballyrogan
3666,Balmattum
3666,Balmattum
3666,Balmattum
3407,Balmoral
3926,Balnarring
3926,Balnarring Beach
3971,Balook
3971,Balook
3103,Balwyn
3103,Balwyn
3103,Balwyn
3104,Balwyn North
3104,Balwyn North
3104,Balwyn North
3104,Balwyn North
3104,Balwyn North
3561,Bamawm
3561,Bamawm
3564,Bamawm Extension
3241,Bambra
3333,Bamganie
3691,Bandiana
3393,Bangerang
3175,Bangholme
3175,Bangholme
3875,Banksia Peninsula
3549,Bannerton
3331,Bannockburn
3485,Banyan
3388,Banyena
3691,Baranduda
3444,Barfold
3463,Baringhup
3463,Baringhup West
3723,Barjarg
3451,Barkers Creek
3384,Barkly
3384,Barkly
3364,Barkstead
3639,Barmah
3557,Barnadown
3688,Barnawartha
3691,Barnawartha North
3871,Baromi
3249,Barongarook
3249,Barongarook West
3221,Barrabool
3525,Barrakee
3249,Barramunga
3537,Barraport
3537,Barraport West
3458,Barrys Reef
3329,Barunah Park
3329,Barunah Plains
3737,Barwidgee
3722,Barwite
3243,Barwon Downs
3227,Barwon Heads
3460,Basalt
3991,Bass
3213,Batesford
3213,Batesford
3213,Batesford
3730,Bathumi
3833,Baw Baw Village
3911,Baxter
3911,Baxter
3375,Bayindeen
3981,Bayles
3444,Baynton
3444,Baynton East
3153,Bayswater
3153,Bayswater
3153,Bayswater
3153,Bayswater North
3153,Bayswater North
3807,Beaconsfield
3807,Beaconsfield
3807,Beaconsfield
3808,Beaconsfield Upper
3808,Beaconsfield Upper
3475,Bealiba
3641,Bearii
3517,Bears Lagoon
3579,Beauchamp
3579,Beauchamp
3373,Beaufort
3193,Beaumaris
3193,Beaumaris
3477,Beazleys Bridge
3251,Beeac
3237,Beech Forest
3747,Beechworth
3139,Beenak
3160,Belgrave
3160,Belgrave Heights
3160,Belgrave South
3215,Bell Park
3215,Bell Park
3215,Bell Post Hill
3215,Bell Post Hill
3223,Bellarine
3889,Bellbird Creek
3228,Bellbrae
3228,Bellbrae
3691,Bellbridge
3381,Bellellen
3081,Bellfield
3228,Bells Beach
3216,Belmont
3216,Belmont
3889,Bemm River
3946,Bena
3672,Benalla
3900,Benambra
3319,Benayeo
3097,Bend Of Islands
3550,Bendigo
3550,Bendigo
3550,Bendigo
3888,Bendoc
3875,Bengworden
3579,Benjeroop
3435,Benloch
3960,Bennison
3204,Bentleigh
3165,Bentleigh East
3235,Benwerrin
3342,Beremboke
3518,Berrimal
3351,Berringa
3691,Berringama
3531,Berriwillock
3323,Berrybank
3953,Berrys Creek
3806,Berwick
3806,Berwick
3806,Berwick
3304,Bessiebelle
3472,Bet Bet
3888,Bete Bolong
3888,Bete Bolong North
3691,Bethanga
3472,Betley
3395,Beulah
3395,Beulah
3590,Beverford
3753,Beveridge
3753,Beveridge
3490,Big Desert
3231,Big Hill
3555,Big Hill
3555,Big Hill
3799,Big Pats Creek
3707,Biggara
3533,Bimbourie
3896,Bindi
3966,Binginwarri
3966,Binginwarri
3898,Bingo Munjie
3483,Birchip
3483,Birchip West
3505,Birdwoodton
3242,Birregurra
3242,Birregurra
3242,Birregurra
3918,Bittern
3918,Bittern
3350,Black Hill
3381,Black Range
3381,Black Range
3193,Black Rock
3193,Black Rock
3130,Blackburn
3130,Blackburn
3130,Blackburn North
3130,Blackburn North
3130,Blackburn South
3130,Blackburn South
3401,Blackheath
3844,Blackwarry
3458,Blackwood
3942,Blairgowrie
3342,Blakeville
3364,Blampied
3980,Blind Bight
3352,Blowhard
3351,Bo Peep
3351,Bo Peep
3678,Bobinawarrah
3301,Bochara
3699,Bogong
3669,Boho
3669,Boho South
3669,Boho South
3531,Boigbeat
3490,Boinka
3860,Boisdale
3387,Bolangum
3432,Bolinda
3546,Bolton
3305,Bolwarra
3352,Bolwarrah
3820,Bona Vista
3820,Bona Vista
3888,Bonang
3196,Bonbeach
3196,Bonbeach
3691,Bonegilla
3939,Boneo
3561,Bonn
3335,Bonnie Brook
3335,Bonnie Brook
3720,Bonnie Doon
3352,Bonshaw
3260,Bookaar
3260,Bookaar
3960,Boolarong
3960,Boolarong
3870,Boolarra
3870,Boolarra South
3880,Boole Poole
3392,Boolite
3728,Boomahnoomoonah
3235,Boonah
3265,Boorcan
3678,Boorhaman
3678,Boorhaman East
3685,Boorhaman North
3723,Boorolite
3953,Boorool
3537,Boort
3730,Boosey
3682,Boralma
3379,Bornes Hill
3155,Boronia
3155,Boronia
3155,Boronia
3155,Boronia
3155,Boronia
3518,Borung
3260,Bostocks Creek
3260,Bostocks Creek
3977,Botanic Ridge
3599,Boundary Bend
3465,Bowenvale
3675,Boweya
3675,Boweya
3675,Boweya North
3735,Bowmans Forest
3678,Bowser
3128,Box Hill
3128,Box Hill
3129,Box Hill North
3128,Box Hill South
3128,Box Hill South
3725,Boxwood
3725,Boxwood
3463,Bradford
3361,Bradvale
3195,Braeside
3821,Brandy Creek
3302,Branxholme
3302,Branxholme
3302,Branxholme
3821,Bravington
3019,Braybrook
3303,Breakaway Creek
3219,Breakwater
3227,Breamlea
3227,Breamlea
3517,Brenanah
3352,Brewster
3352,Brewster
3860,Briagolong
3088,Briar Hill
3088,Briar Hill
3088,Briar Hill
3723,Bridge Creek
3516,Bridgewater
3516,Bridgewater North
3516,Bridgewater On Loddon
3741,Bright
3186,Brighton
3186,Brighton
3186,Brighton
3187,Brighton East
3187,Brighton East
3187,Brighton East
3187,Brighton East
3187,Brighton East
3391,Brim
3312,Brimboal
3685,Brimin
3401,Brimpaen
3319,Bringalbert
3315,Brit Brit
3658,Broadford
3875,Broadlands
3047,Broadmeadows
